,source,target,similarity
0,124752226,124752279,0.07522452714451086
1,124752226,124752418,0.057010297267160795
2,124752226,124752470,0.031807693708779866
3,124752226,124752522,0.05018587620913807
4,124752226,124752621,0.04312048892055307
5,124752226,124752644,0.02161866142228195
6,124752226,124752658,0.09044894398210973
7,124752226,124752660,0.05042006824232047
8,124752226,124752677,0.06284079841202617
9,124752226,124752692,0.0893832737355156
10,124752226,124752702,0.07626364941380426
11,124752226,124752818,0.08009716172274772
12,124752226,124752831,0.03072441317110808
13,124752226,124752864,0.05590300715912012
14,124752226,124752878,0.08228406216850048
15,124752226,124752903,0.06345753652607455
16,124752226,124752915,0.05058733477427571
17,124752226,124752963,0.06817039450967992
18,124752226,124753069,0.05400488864943484
19,124752226,124753090,0.04211942923041989
20,124752226,124753169,0.04262719826069174
21,124752226,124753177,0.037512905946190084
22,124752226,124753184,0.0645996309787549
23,124752226,124753213,0.0855564170653477
24,124752226,124753226,0.089086824047856
25,124752226,124753266,0.03686545876846732
26,124752226,124753395,0.051434738691470874
27,124752226,124753437,0.06516645534367553
28,124752226,124753481,0.11341105228188741
29,124752226,124753513,0.029045986389596663
30,124752226,124753543,0.05472326816392335
31,124752226,124753590,0.06961867582765846
32,124752226,124753612,0.04473349885048551
33,124752226,124753639,0.04245259387869366
34,124752226,124753661,0.07702570849419668
35,124752226,124753687,0.09400419963158368
36,124752226,124753714,0.08735770223645506
37,124752226,124753724,0.03875407118392871
38,124752226,124753740,0.046721269111784945
39,124752226,124753791,0.04454138047867384
40,124752226,124753840,0.06390714096942395
41,124752226,124753959,0.16301596930720208
42,124752226,124754015,0.08877178928796536
43,124752226,124754041,0.02834789409419257
44,124752226,124754050,0.10136741190545068
45,124752226,124754075,0.2973798167416727
46,124752226,124754077,0.02649964167694202
47,124752226,124754078,0.05855470202607704
48,124752226,124754096,0.05187811617248544
49,124752226,124754109,0.06696126619030375
50,124752226,124754137,0.04529322483858726
51,124752226,124754138,0.0614929113401599
52,124752226,124754146,0.03524445650258222
53,124752226,124754170,0.2885846169452851
54,124752226,124754189,0.058673296734679956
55,124752226,124754198,0.06096386853554071
56,124752226,124754204,0.3129291204021204
57,124752226,124754208,0.06159077055146481
58,124752226,124754214,0.037597199371347784
59,124752226,124754218,0.056284267235721344
60,124752226,124754236,0.07559935420472837
61,124752226,124754241,0.08005254073353646
62,124752226,124754250,0.07872769844638376
63,124752226,124754282,0.1284451117820301
64,124752226,124754292,0.09030664548251081
65,124752226,124754294,0.03840745106065769
66,124752226,124754335,0.06927148837707614
67,124752226,124754345,0.03774782446635677
68,124752226,124754348,0.04910125805332026
69,124752226,124754350,0.10927468354563405
70,124752226,124754358,0.3094969516813746
71,124752226,124754374,0.04198149125254329
72,124752226,124754377,0.031157645190573794
73,124752226,124754399,0.061786910006227304
74,124752226,124754428,0.05573997885001269
75,124752226,124754458,0.05007762406760169
76,124752226,124754483,0.06933530292700438
77,124752226,124754492,0.05880071378248142
78,124752226,124754512,0.052610167398685945
79,124752226,124754514,0.0721597398386342
80,124752226,124754516,0.06564612808011244
81,124752226,124754535,0.07563173387715955
82,124752226,124754540,0.06594599645880025
83,124752226,124754542,0.10590080079997914
84,124752226,124754544,0.03774433303955006
85,124752226,124754562,0.06659302223336484
86,124752226,124754593,0.05814045812919152
87,124752226,124754604,0.2661675813555725
88,124752226,124754619,0.0356008254709191
89,124752226,124754623,0.08622672506817722
90,124752226,124754653,0.048621694246340594
91,124752226,124754669,0.04224341500257202
92,124752226,124754677,0.04331434250048048
93,124752226,124754683,0.04283111348159571
94,124752226,124754692,0.09327448238840533
95,124752226,124754694,0.038094188283095805
96,124752226,124754704,0.07648466463042564
97,124752226,124754713,0.05082124572857459
98,124752226,124754724,0.0858081830841119
99,124752226,124754732,0.056297769803552125
100,124752226,124754733,0.06316061987508088
101,124752226,124754739,0.06457736811865855
102,124752226,124754749,0.09468642566267543
103,124752226,124754756,0.058455237916590574
104,124752226,124754769,0.09250634821756085
105,124752226,124754780,0.07476472466594988
106,124752226,124754783,0.08163910643827446
107,124752226,124754788,0.08115823512871335
108,124752226,124754795,0.02940403277759543
109,124752226,124754811,0.06866955504008956
110,124752226,124754816,0.08860550882592362
111,124752226,124754842,0.03202529280474534
112,124752226,124754846,0.0691601838668503
113,124752226,124754853,0.039548685244470944
114,124752226,124754887,0.07676628542675279
115,124752226,124754895,0.04683879848203616
116,124752226,124754898,0.0702960226366296
117,124752226,124754940,0.22707126789585402
118,124752226,124754975,0.045364024040916405
119,124752226,124754986,0.08176279416207335
120,124752226,124755012,0.03515569608053744
121,124752226,124755014,0.07433409342334686
122,124752226,124755032,0.07081244288081767
123,124752226,124755038,0.05111705547474431
124,124752226,124755041,0.13165599730983002
125,124752226,124755055,0.0603236930089515
126,124752226,124755073,0.04000557237875574
127,124752226,124755088,0.05593097207976504
128,124752226,124755096,0.05109735326063199
129,124752226,124755103,0.09357962932675543
130,124752226,124755121,0.03996920292452176
131,124752226,124755125,0.030695453951314317
132,124752226,124755131,0.05468906483724961
133,124752226,124755140,0.08379354178203247
134,124752226,124755175,0.06049853047851563
135,124752226,124755177,0.03466330207016331
136,124752226,124755184,0.10041926413462901
137,124752226,124755203,0.12126637497642997
138,124752226,124755216,0.04225936955730068
139,124752226,124755221,0.0774504805569069
140,124752226,124755232,0.028829711705119936
141,124752226,124755236,0.06835279776183123
142,124752226,124755244,0.07743559559565188
143,124752226,124755246,0.04980027476543371
144,124752226,124755262,0.07124838373875914
145,124752226,124755264,0.09555251026362069
